天	Pictograph of a line above a person, representing the sky.	[{"char":"◎","type":"iconic","notes":"Depicts the sky.","pinyin":"xx","definition":"characterless component"},{"char":"大","type":"iconic","notes":"Here used as a pictograph of a person.","pinyin":"dà; dài","definition":"big"}]
几	Pictograph of a small table. In simplified Chinese 几 is also used to mean "how much", while in traditional Chinese this meaning is written with a separate character 幾.	[]
幾		[{"char":"𢆶","type":"meaning","pinyin":"yōu","definition":"small, insignificant"},{"char":"戍","type":"meaning","pinyin":"shù","definition":"garrison"}]
𢆶	Pictograph of two threads. Double of 幺.	[]
戍	Pictograph of a person (人) with a weapon (戈).	[{"char":"人","type":"iconic","pinyin":"rén","definition":"person"},{"char":"戈","type":"iconic","pinyin":"gē","definition":"dagger-axe"}]
馬	Pictograph of a horse.	[]
马	Simplified form of 馬. Pictograph of a horse.	[]
吗	Phonosemantic compound. 口 represents the meaning and 马 represents the sound.	[{"char":"口","type":"meaning","pinyin":"kǒu","definition":"mouth"},{"char":"马","type":"sound","pinyin":"mǎ","definition":"horse"}]
嗎	Phonosemantic compound. 口 represents the meaning and 馬 represents the sound.	[{"char":"口","type":"meaning","pinyin":"kǒu","definition":"mouth"},{"char":"馬","type":"sound","pinyin":"mǎ","definition":"horse"}]
妈	Phonosemantic compound. 女 represents the meaning and 马 represents the sound.	[{"char":"女","type":"meaning","pinyin":"nǚ; rǔ","definition":"woman; female"},{"char":"马","type":"sound","pinyin":"mǎ","definition":"horse"}]
媽	Phonosemantic compound. 女 represents the meaning and 馬 represents the sound.	[{"char":"女","type":"meaning","pinyin":"nǚ; rǔ","definition":"woman; female"},{"char":"馬","type":"sound","pinyin":"mǎ","definition":"horse"}]
貝	Pictograph of a cowrie shell. In ancient China such shells were used as currency.	[]
贝	Simplified form of 貝. Pictograph of a cowrie shell. In ancient China such shells were used as currency.	[]
朋	Pictograph of two strings of objects mounted together. Originally meant "pair", later the meaning shifted to "friend". The modern form is visually similar to 月 (moon) but the meaning is not related.	[]
友	Pictograph of two hands togther to convey the meaning "friend".	[{"char":"又","type":"iconic","notes":"Also serves as a phonetic component.","pinyin":"yòu","definition":"(hand); again"},{"char":"又","type":"iconic","notes":"Also serves as a phonetic component.","pinyin":"yòu","definition":"(hand); again"}]
沒	Pictograph of a hand reaching in the water to grab something. Later the meaning shifted to "drown". This meaning is only used when the character is pronouned "mò". When pronounced "méi" (which is much more common), it means "not have". This meaning is a phonetic loan, unrelated to the original meaning.	[{"char":"氵","type":"iconic","notes":"氵 is a component form of 水.","pinyin":"shuǐ","definition":"water"},{"char":"◎","type":"iconic","notes":"Depicts an object beneath the surface of the water.","pinyin":"xx","definition":"characterless component"},{"char":"又","type":"iconic","pinyin":"yòu","definition":"(hand); again"}]
没	Simplified form of 沒. Pictograph of a hand reaching in the water to grab something. Later the meaning shifted to "drown". This meaning is only used when the character is pronouned "mò". When pronounced "méi" (which is much more common), it means "not have". This meaning is a phonetic loan, unrelated to the original meaning.	[{"char":"氵","type":"iconic","notes":"氵 is a component form of 水.","pinyin":"shuǐ","definition":"water"},{"char":"◎","type":"iconic","notes":"Depicts an object beneath the surface of the water.","pinyin":"xx","definition":"characterless component"},{"char":"又","type":"iconic","pinyin":"yòu","definition":"(hand); again"}]
田	Pictograph of a field.	[]
男	Traditionally males (男) were the people who plowed (力) the fields (田).	[{"char":"田","type":"meaning","pinyin":"tián","definition":"field"},{"char":"力","type":"meaning","pinyin":"lì","definition":"strength; power"}]
乍	Pictograph of a tool for cutting grass.	[]
昨	Phonosemantic compound. 日 represents the meaning and 乍 represents the sound.	[{"char":"日","type":"meaning","pinyin":"rì","definition":"sun; day"},{"char":"乍","type":"sound","pinyin":"zhà","definition":"mow; abruptly"}]
亥	Pictograph of roots.	[]
孩	Phonosemantic compound. 子 represents the meaning and 亥 represents the sound.	[{"char":"子","type":"meaning","pinyin":"zǐ; zi","definition":"son; child"},{"char":"亥","type":"sound","pinyin":"hài","definition":"12th earthly branch"}]
