汶	Wèn	Wen River in northwest	Wen River in northwest Sichuan (same as 汶川); classical name of river in Shandong, used to refer to Qi 齊國|齐国
汷	Zhōng	name of an ancient river in	name of an ancient river in Hubei
决	jué	to decide, to determine	to decide; to determine; to execute (sb); (of a dam etc) to breach or burst; definitely; certainly
汽	qì	steam, vapor	steam; vapor
汾	fén	name of a river	name of a river
沁	qìn	to seep, to percolate	to seep; to percolate
沂	Yí	Yi River, Shandong	Yi River, Shandong
沃	wò	to irrigate, to wash, fertile	fertile; rich; to irrigate; to wash (of river)
沄	yún	rushing of a torrent	rushing of a torrent
沅	Yuán	Yuan river in Guizhou and	Yuan river in Guizhou and Hunan
沆	hàng	fog, a ferry, flowing	a ferry; fog; flowing
沇	Yǎn; yǎn	surname Yan	surname Yan; archaic variant of 兗|兖[Yǎn]
沈	Shěn; shěn; chén	place name, to pour, liquid	surname Shen; place name; liquid; to pour; variant of 沉[chén]
沉	chén; chēn	to submerge, to immerse	to submerge; to immerse; to sink; to keep down; to lower; to drop; deep; profound; heavy; see 黑沉沉[hēi​chēn​chēn]
沌	dùn	confused, turbid	confused; turbid
沍	hù	congealed, frozen	congealed; frozen
沏	qī	to steep	to steep (tea)
沐	mù	to bathe, to cleanse	to bathe; to cleanse; to receive; to be given
没	méi; mò	not, have not, to end, to die	(negative prefix for verbs); have not; not; drowned; to end; to die; to inundate
沓	dá; tà; Tà	classifier for sheets of, many	classifier for sheets of papers etc: pile, pad; Taiwan pr. [tà]; again and again; many; surname Ta
沔	miǎn	inundation, name of a river	inundation; name of a river
沕	wù	abstruse, profound	abstruse; profound
冲	chōng; chòng	to infuse, to rinse	(of water) to dash against; to mix with water; to infuse; to rinse; to flush; to develop (a film); to rise in the air; to clash; to collide with; thoroughfare; to go straight ahead; to rush; powerful; vigorous; pungent; towards; in view of
沘	bǐ	name of a river	name of a river
沙	shā; Shā	granule, hoarse, raspy, sand	granule; hoarse; raspy; sand; powder; CL:粒[lì]; abbr. for Tsar or Tsarist Russia; surname Sha
沚	zhǐ	islet	islet
沛	pèi	copious, abundant	copious; abundant
沢	zé	Japanese variant of 澤|泽	Japanese variant of 澤|泽
沫	mò	foam, suds	foam; suds
沬	mèi	dawn, place name	dawn; place name
沭	shù	river in Shandong	river in Shandong
沮	jǔ	to destroy, to stop	to destroy; to stop
沰	tuō	to let drop	to let drop
沱	tuó	to branch, tearful	tearful; to branch (of river)
河	hé	river	river; CL:條|条[tiáo],道[dào]
沴	lì	miasma	miasma
沷	fā	to cleanse, to remove evil	to remove evil; to cleanse; to wash away
沸	fèi	to boil	to boil
油	yóu	oil, fat, grease, petroleum	oil; fat; grease; petroleum; to apply tung oil, paint or varnish; oily; greasy; glib; cunning
沺	tián	turbulent	turbulent
治	zhì	to rule, to govern, to manage	to rule; to govern; to manage; to control; to harness (a river); to treat (a disease); to wipe out (a pest); to punish; to research
沼	zhǎo	pond, pool	pond; pool
沽	gū; Gū	to buy, to sell	to buy; to sell; abbr. for Tianjin 天津 (also 津沽)
沾	zhān	to moisten, to touch	to moisten; to be infected by; to receive benefit or advantage through a contact; to touch; variant of 沾[zhān]
沿	yán	to follow, to trim, along	along; to follow (a line, tradition etc); to carry on; to trim (a border with braid, tape etc); border; edge
况	kuàng	moreover, situation	moreover; situation
泂	jiǒng	vast	vast
泄	xiè	to leak, to drip, to drain	to leak (of water or gas); to drip; to drain; to discharge; to leak out; to divulge (secrets); to give vent (to anger, spite etc); to disperse; to reduce; variant of 泄[xiè]
泅	qiú	to swim	to swim
泆	yì	licentious, libertine	licentious, libertine, dissipate
泈	Zhōng	old variant of 汷	old variant of 汷[Zhōng]
泉	quán	spring, mouth of a spring	spring (small stream); mouth of a spring; coin (archaic)
泊	bó; pō	to anchor, to moor, touch at	to anchor; touch at; to moor; lake; Taiwan pr. [bó]
泌	mì	to secrete, to excrete	to secrete; to excrete; also pr. [bì]
泐	lè	to write	to write
